variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes	sensi_1	sensi_0	speci_1	speci_0	mutation_in_interest	mutation_not_in_interest	mutation_in_compared	mutation_not_in_compared
group_938	0.358	0.8490000000000001	0.8079999999999999	0.102	0.42	0.0224		0.36666666666666664	0.6333333333333333	0.35	0.65	22	38	21	39
group_935	0.35	0.7020000000000001	0.732	0.13699999999999998	0.4	0.0316		0.36666666666666664	0.6333333333333333	0.3333333333333333	0.6666666666666666	22	38	20	40
group_607	0.342	0.847	0.83	0.152	0.705	0.0198		0.35	0.65	0.3333333333333333	0.6666666666666666	21	39	20	40
group_608	0.342	0.847	0.83	0.152	0.705	0.0198		0.35	0.65	0.3333333333333333	0.6666666666666666	21	39	20	40
group_610	0.342	0.847	0.83	0.152	0.705	0.0198		0.35	0.65	0.3333333333333333	0.6666666666666666	21	39	20	40
group_611	0.342	0.847	0.83	0.152	0.705	0.0198		0.35	0.65	0.3333333333333333	0.6666666666666666	21	39	20	40
group_951	0.342	0.847	0.83	0.152	0.705	0.0198		0.35	0.65	0.3333333333333333	0.6666666666666666	21	39	20	40
group_956	0.342	0.847	0.83	0.152	0.705	0.0198		0.35	0.65	0.3333333333333333	0.6666666666666666	21	39	20	40
group_962	0.342	0.847	0.83	0.152	0.705	0.0198		0.35	0.65	0.3333333333333333	0.6666666666666666	21	39	20	40
group_969	0.342	0.847	0.83	0.152	0.705	0.0198		0.35	0.65	0.3333333333333333	0.6666666666666666	21	39	20	40
group_970	0.342	0.847	0.83	0.152	0.705	0.0198		0.35	0.65	0.3333333333333333	0.6666666666666666	21	39	20	40
group_1112	0.33299999999999996	0.439	0.564	0.0395	0.0682	0.0532		0.36666666666666664	0.6333333333333333	0.3	0.7	22	38	18	42
group_411	0.33299999999999996	0.00195	0.63	0.0458	0.0949	0.0444		0.4666666666666667	0.5333333333333333	0.2	0.8	28	32	12	48
group_1186	0.292	0.16	0.996	0.000367	0.0812	0.00041600000000000003		0.35	0.65	0.23333333333333334	0.7666666666666667	21	39	14	46
group_430	0.292	0.0272	0.331	-0.0791	0.081	0.0896		0.2	0.8	0.38333333333333336	0.6166666666666667	12	48	23	37
group_25	0.275	0.307	0.0914	0.11599999999999999	0.068	0.155		0.31666666666666665	0.6833333333333333	0.23333333333333334	0.7666666666666667	19	41	14	46
group_39	0.275	0.54	0.0621	-0.272	0.145	0.171		0.3	0.7	0.25	0.75	18	42	15	45
group_605	0.275	0.0658	0.809	0.111	0.46	0.0223		0.35	0.65	0.2	0.8	21	39	12	48
group_939	0.275	0.0658	0.809	0.111	0.46	0.0223		0.35	0.65	0.2	0.8	21	39	12	48
group_1371	0.267	0.0986	0.539	-0.046	0.0746	0.0566		0.3333333333333333	0.6666666666666666	0.2	0.8	20	40	12	48
group_1941	0.267	5.91e-10	0.479	-0.40399999999999997	0.569	0.0652	bad-chisq	0.016666666666666666	0.9833333333333333	0.5166666666666667	0.48333333333333334	1	59	31	29
group_606	0.267	0.0986	0.762	-0.0895	0.295	0.0279		0.3333333333333333	0.6666666666666666	0.2	0.8	20	40	12	48
group_609	0.267	0.0986	0.762	-0.0895	0.295	0.0279		0.3333333333333333	0.6666666666666666	0.2	0.8	20	40	12	48
group_602	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_929	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_930	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
